clientid,income,age,loan
1923,40506.9440067746,52.2415141249076,5961.53181600807
817,38268.6966028996,30.676849837880603,2522.05718465992
799,43937.219043728,56.4096822156571,3213.5419628300897
894,49972.0108276233,32.3969839904457,763.9541158786079
1330,35583.6185440421,63.0543971573934,27.2524822472804
1362,24061.463160906,34.511520112399,3980.57878313095
1221,42059.6369006671,55.2906857491471,5310.271528649289
1370,65435.0353800692,19.8465041620657,12727.9975513072
265,55235.5040726252,47.0052601420321,4910.54765823574
1273,46572.320004925095,59.1216496378183,721.3416051022009
544,55476.6569798812,52.089202798903,4733.50582969986
327,38082.5195158832,45.519977238029206,4213.46525948758
1617,68338.0974037573,34.3344714795239,12840.6967096981
476,26388.7272961438,19.3715205355547,1191.33213785363
57,22248.1792024337,23.4436241723597,4364.9752805952
383,21437.6157545485,45.7314004921354,2563.96087298893
1579,29849.967143964,39.9287241469137,3678.89967602364
1174,26291.3757981732,52.401542617473794,1094.17752939053
304,28010.190934874103,55.3668996649794,3971.15547880774
1581,29775.1422203146,21.0349717177451,3327.23623483166
338,24658.8993165642,59.4365005721338,590.598081194187
772,30012.251092121,54.940118664875605,3972.151405211429
1198,46923.0467732996,36.339533804450205,3107.8837824180296
1815,20647.887645755,20.3216455606744,725.456868595806
1218,29279.7497869469,18.813098603393897,2291.98811856518
1714,53236.9929994456,57.9326121918857,703.602197848316
900,68004.6862154268,41.5310972742736,2698.04778142586
1246,30134.7096031532,43.8172283153981,958.998081921469
937,51088.2107820362,52.0858715916984,9097.112036065171
1869,58503.7710075267,42.3725129328668,7050.43252621121
595,50382.3997732252,57.0969364880584,9183.84229457753
917,61660.40131822231,48.8987582297996,1684.52656398846
1740,53289.0679710545,32.3002068898641,7395.513416308141
1325,42146.93762362,23.7205218081363,7367.25824696371
106,47634.5495483838,44.2948713297956,141.703817946414
590,55441.35879492389,48.058599114418,10768.7478385081
833,40230.9757121839,58.7940956773236,745.19474910364
33,67252.9006074183,38.1319074640051,4221.30315714475
1507,69209.3308712356,26.0328495185822,6284.83357255315
844,37598.3850844204,54.663929305970704,3641.8084108437
967,34981.3678348437,23.4877088945359,5502.73603087282
582,48271.4983797632,21.6623410205357,6077.680286835239
1247,56217.326496262096,51.5822805562057,2866.5858997555
1693,31920.412722975,52.15906047308821,217.18796207658
876,49380.658629816,45.471049905289,5425.280945064939
947,63441.7123557068,18.6712893769145,3119.4126781587297
1075,53768.2282086462,25.3775038844906,3696.95324417008
165,33441.0510654561,27.873486188706003,5282.728560308379
1211,69132.4625792913,33.471181642264106,7621.410218952421
775,27966.2444535643,53.7002732376568,4445.20317812007
1573,64966.0656391643,28.379293691366897,11495.731101963702
1472,43156.3052744605,27.8468346674927,2413.01190680546
309,60153.3369673416,20.3008601283655,6472.34700724504
1957,55704.7981582582,48.5166189149022,5594.332971007149
1004,23717.567853163902,49.325769520830406,1530.09024242426
821,65481.9455510005,45.038576235994704,10614.2484928222
1892,42994.6822393686,36.425610730890206,4453.824616990561
673,56534.966842737005,27.8079414837994,2161.08375159161
1487,29705.074725206898,41.834137139376296,1912.20509104439
1818,33614.4946096465,46.473081822041394,4837.78751067317
883,33648.7389914691,60.970944559201605,1498.1612553260998
1316,49908.2918674685,29.5509403808974,2903.03612840759
411,44904.597643762805,44.206686655525104,4953.77359939866
